blockNumber,timeStamp,blockReward
9551218,1582614783,2038224853154521505
9549967,1582597884,2001125815000000000
9549800,1582595927,2011632386136953711
9549713,1582594942,2061904182758755009
9549421,1582591002,2009840747448732541
9549336,1582589830,2024981296794488578
9549277,1582588925,2079920436778163265
9548713,1582581495,2085798323395649359
9548626,1582580397,2003909842050000000
9548136,1582573448,2027296305694294421
9547999,1582571816,2041627383813045489
9547710,1582567827,2139862454112385000
9546586,1582552956,2049428503554873578
9545508,1582538553,2042646209058110300
9545237,1582534808,2151498129989337117
9545049,1582532512,2114043774539878612
9543874,1582516664,2011389960600000000
9543287,1582509181,2012390787607995392
9542773,1582502075,2069966106313101386
9542168,1582494511,2001479014500000000
9541885,1582490939,2000497955000000000
9541641,1582487877,2042276160525791214
9541435,1582484748,2078416105681558337
9541182,1582481465,2025457016500000000
9541176,1582481411,2011154376800000000
9541040,1582479644,2043750875095769022
9540832,1582477310,2056562201734035312
9540665,1582475006,2115409659476758231
9540218,1582468723,2201988279028841961
9539828,1582463599,2003008250000000000
9539559,1582459901,2144866802125149270
9539054,1582453255,2103372882186440608
9538978,1582452468,2104845156740285601
9538689,1582448817,2004984210938630000
9538094,1582440781,2117922209371253334
9537876,1582437750,2080029367210435753
9537281,1582429770,2144770051583795296
9536832,1582423572,2187713494676777262
9536759,1582422496,2084516583861666882
9536615,1582420630,2049120549664105152
9536025,1582413025,2003465000000000000
9535959,1582412276,2008116540667656000
9535835,1582410570,2056028759570131531
9535474,1582405788,2000000000000000000
9534499,1582392586,2019124581802883648
9534375,1582390835,2005033750000000000
9534205,1582388952,2162277509237600732
9533274,1582376516,2006501158624376411
9533262,1582376361,2053236253670137314
9532784,1582369616,2016529594433665595
9532723,1582368784,2084057507582744178
9532699,1582368473,2030033800433827668
9532580,1582367258,2008816746900000000
9532530,1582366755,2019758196407988400
9531734,1582355683,2081508255485186765
9531490,1582352174,2059030451008360287
9530677,1582341917,2001347545070000000
9530407,1582338591,2128885094799689750
9530346,1582337803,2039834066991885967
9530051,1582334246,2027695749492478971
9529412,1582325393,2125841315781841586
9528633,1582315133,2019643528236986166
9528509,1582313495,2040448235503982192
9528033,1582307415,2026249818050322408
9527562,1582301211,2059257527276331330
9526886,1582292269,2030426323017725056
9526604,1582288539,2049733290858576413
9526406,1582285731,2067130823950652460
9526398,1582285643,2001071000000000000
9526342,1582284973,2129990350433138222
9525610,1582275194,2040095535897249887
9525509,1582273881,2015942109242811497
9525263,1582270442,2002072725000000000
9525185,1582269130,2124134982337516001
9525080,1582267588,2006290735344875402
9524815,1582264197,2031330434664760022
9524795,1582263846,2102138652028912507
9524769,1582263501,2121383434043371452
9524682,1582262435,2057697204314932501
9524412,1582258416,2020348068399847559
9524383,1582257949,2152271770166848295
9523874,1582251327,2030614214376935760
9523862,1582251179,2002766974000000000
9523730,1582249331,2080322715654657737
9523650,1582248270,2022182217380000000
9523570,1582247072,2046800633157340035
9523549,1582246778,2018854338900000000
9522493,1582233325,2025609954107863423
9522451,1582232807,2106263068997604562
9522330,1582231176,2011980181288039405
9521805,1582224127,2043990544057013166
9521506,1582220338,2079734695492183331
9521481,1582220069,2075313609560787675
9521371,1582218561,2075614960389863785
9521054,1582214317,2017809988390000000
9520874,1582212009,2059634341847347064
9520819,1582211413,2079004057852018130
9520798,1582211145,2005874500000000000
9520382,1582205547,2110373650602403226
9519971,1582199912,2097915084354326702
9519649,1582195328,2144738839161473901
9519516,1582193872,2086951492331822788
9519206,1582189661,2114711803840309000
9519127,1582188503,2060782694571726908
9519023,1582187009,2086316791231330472
9518795,1582183809,2090626661272010000
9518226,1582176314,2077197320882347156
9518143,1582174977,2071169500513091765
9518055,1582173816,2161297800194016840
9517283,1582163392,2002281450000000000
9517107,1582161201,2147185435608184308
9516945,1582158989,2021865280834259433
9516913,1582158458,2148618222351109853
9516622,1582154676,2008600930016560000
9516414,1582152081,2039259419367486459
9516303,1582150612,2311600183281134227
9515926,1582145469,2092663958629642856
9515719,1582142742,2119539261696892199
9515239,1582136154,2150937146113776306
9515174,1582135278,2129179291460513511
9515138,1582134842,2062929717189026000
9514956,1582132719,2079690819085857000
9514788,1582130360,2037166436376026562
9514648,1582128638,2003968139009837959
9514458,1582126096,2008718542100000000
9514332,1582124580,2035931385736457582
9514107,1582121652,2106012781405059283
9513965,1582119688,2170867212187230000
9513311,1582110865,2190007982404850726
9512033,1582093622,2000000000000000000
9511785,1582090463,2017251381819018998
9511727,1582089638,2032356433794448000
9511113,1582081629,2037089534310332832
9510919,1582079230,2030166566276032982
9510874,1582078774,2077175865903523334
9510000,1582067542,2069898989730274678
9509988,1582067341,2268262139874597282
9509930,1582066488,2084948383676463022
9509704,1582063264,2099593524349895465
9509594,1582061874,2015839313730141404
9509567,1582061478,2103242851971127610
9509563,1582061435,2035981717538310371
9509327,1582058227,2038643783017718478
9509255,1582057330,2016675619004238201
9509003,1582053856,2142912860075772651
9508688,1582049651,2084194658435039606
9508562,1582048057,2038347040781478302
9508483,1582046972,2054077634518059850
9508364,1582045670,2046914232142636942
9508286,1582044638,2036095069420000000
9508248,1582044193,3240791746150372230
9507702,1582036447,2130403755959546760
9507568,1582034807,2164680903490503011
9507442,1582033140,2016732709146020838
9507213,1582030114,2095419331472776296
9506898,1582026069,2025090115445418787
9506694,1582023575,2049622334138448596
9506197,1582016731,2151276346590773951
9506175,1582016527,2065114077188622643
9506079,1582015401,2142382969638385888
9505737,1582010720,2130013944451259391
9505213,1582003163,2041239384674416604
9504816,1581998243,2076699693922210635
9504656,1581996085,2125436769243360195
9504018,1581987791,2188513530441636533
9503913,1581986430,2014616038326458285
9503590,1581982080,2021688460602600000
9503403,1581979733,2006215442000000000
9503228,1581977099,2101024312737686403
9503157,1581976257,2013136716940000000
9503032,1581974338,2089305012102159038
9502760,1581971008,2024948095193104056
9502751,1581970866,2021439688969213692
9502706,1581970387,2053315032885462000
9502509,1581967672,2044831791763916052
9502342,1581965776,2009290993512926000
9502284,1581965136,2013630152431852000
9501733,1581957845,2051614159019222952
9501471,1581954370,2092811765866143139
9501420,1581953670,2213782852186029297
9501326,1581952295,2089741619664688823
9501026,1581947863,2118809328105355000
9500281,1581937891,2086305104867578333
